"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2009"	"2009/01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	71
	"Jan., 2009"	"2009/01"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	12
	"Jan., 2009"	"2009/01"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	15
	"Jan., 2009"	"2009/01"	"Septicaemia, unspecified"	"A41.9"	87
	"Jan., 2009"	"2009/01"	"Chronic viral hepatitis C"	"B18.2"	120
	"Jan., 2009"	"2009/01"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	13
	"Jan., 2009"	"2009/01"	"HIV disease resulting in other specified conditions"	"B23.8"	21
	"Jan., 2009"	"2009/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	15
	"Jan., 2009"	"2009/01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	14
	"Jan., 2009"	"2009/01"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	14
	"Jan., 2009"	"2009/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	110
	"Jan., 2009"	"2009/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	114
	"Jan., 2009"	"2009/01"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	10
	"Jan., 2009"	"2009/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	315
	"Jan., 2009"	"2009/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	15
	"Jan., 2009"	"2009/01"	"Malignant neoplasm of rectum"	"C20"	66
	"Jan., 2009"	"2009/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	111
	"Jan., 2009"	"2009/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	53
	"Jan., 2009"	"2009/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	71
	"Jan., 2009"	"2009/01"	"Malignant neoplasm of gallbladder"	"C23"	14
	"Jan., 2009"	"2009/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	325
