"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2000"	"2000/01"	"Septicaemia, unspecified"	"A41.9"	205
	"Jan., 2000"	"2000/01"	"Acute hepatitis C"	"B17.1"	22
	"Jan., 2000"	"2000/01"	"HIV disease resulting in other bacterial infections"	"B20.1"	27
	"Jan., 2000"	"2000/01"	"HIV disease resulting in multiple infections"	"B20.7"	20
	"Jan., 2000"	"2000/01"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	29
	"Jan., 2000"	"2000/01"	"HIV disease resulting in other specified conditions"	"B23.8"	78
	"Jan., 2000"	"2000/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	39
	"Jan., 2000"	"2000/01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	10
	"Jan., 2000"	"2000/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	85
	"Jan., 2000"	"2000/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	96
	"Jan., 2000"	"2000/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	306
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of rectum"	"C20"	52
	"Jan., 2000"	"2000/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	24
	"Jan., 2000"	"2000/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	20
	"Jan., 2000"	"2000/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	27
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of gallbladder"	"C23"	13
	"Jan., 2000"	"2000/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	174
	"Jan., 2000"	"2000/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	26
	"Jan., 2000"	"2000/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	869
	"Jan., 2000"	"2000/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	28
	"Jan., 2000"	"2000/01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	17
	"Jan., 2000"	"2000/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	300
	"Jan., 2000"	"2000/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	29
