"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2000"	"2000/01"	"Septicaemia, unspecified"	"A41.9"	265
	"Jan., 2000"	"2000/01"	"Acute hepatitis C"	"B17.1"	20
	"Jan., 2000"	"2000/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	12
	"Jan., 2000"	"2000/01"	"Viral infection, unspecified"	"B34.9"	11
	"Jan., 2000"	"2000/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	61
	"Jan., 2000"	"2000/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	62
	"Jan., 2000"	"2000/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	267
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	14
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of rectum"	"C20"	32
	"Jan., 2000"	"2000/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	27
	"Jan., 2000"	"2000/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	20
	"Jan., 2000"	"2000/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	11
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of gallbladder"	"C23"	10
	"Jan., 2000"	"2000/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	122
	"Jan., 2000"	"2000/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	16
	"Jan., 2000"	"2000/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	721
	"Jan., 2000"	"2000/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	31
	"Jan., 2000"	"2000/01"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	14
	"Jan., 2000"	"2000/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	195
	"Jan., 2000"	"2000/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	20
	"Jan., 2000"	"2000/01"	"Endometrium - Malignant neoplasms"	"C54.1"	22
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	19
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of ovary"	"C56"	54
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of prostate"	"C61"	163
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	63
	"Jan., 2000"	"2000/01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	73
	"Jan., 2000"	"2000/01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	46
	"Jan., 2000"	"2000/01"	"Malignant neoplasm without specification of site"	"C80"	159
	"Jan., 2000"	"2000/01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	102
	"Jan., 2000"	"2000/01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	44
	"Jan., 2000"	"2000/01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	25
	"Jan., 2000"	"2000/01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	40
	"Jan., 2000"	"2000/01"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	14
	"Jan., 2000"	"2000/01"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	15
	"Jan., 2000"	"2000/01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	17
	"Jan., 2000"	"2000/01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	28
