"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2000"	"2000/01"	"Septicaemia, unspecified"	"A41.9"	216
	"Jan., 2000"	"2000/01"	"Acute hepatitis C"	"B17.1"	30
	"Jan., 2000"	"2000/01"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	13
	"Jan., 2000"	"2000/01"	"HIV disease resulting in other specified conditions"	"B23.8"	13
	"Jan., 2000"	"2000/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	25
	"Jan., 2000"	"2000/01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	16
	"Jan., 2000"	"2000/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	50
	"Jan., 2000"	"2000/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	70
	"Jan., 2000"	"2000/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	219
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of rectum"	"C20"	39
	"Jan., 2000"	"2000/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	33
	"Jan., 2000"	"2000/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	16
	"Jan., 2000"	"2000/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	28
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of gallbladder"	"C23"	13
	"Jan., 2000"	"2000/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	120
	"Jan., 2000"	"2000/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	22
	"Jan., 2000"	"2000/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	800
	"Jan., 2000"	"2000/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	37
	"Jan., 2000"	"2000/01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	14
	"Jan., 2000"	"2000/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	203
	"Jan., 2000"	"2000/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	41
	"Jan., 2000"	"2000/01"	"Endometrium - Malignant neoplasms"	"C54.1"	13
	"Jan., 2000"	"2000/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	13
