"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2012"	"2012/01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	32
	"Jan., 2012"	"2012/01"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	10
	"Jan., 2012"	"2012/01"	"Septicaemia, unspecified"	"A41.9"	276
	"Jan., 2012"	"2012/01"	"Chronic viral hepatitis C"	"B18.2"	48
	"Jan., 2012"	"2012/01"	"HIV disease resulting in other specified conditions"	"B23.8"	13
	"Jan., 2012"	"2012/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	52
	"Jan., 2012"	"2012/01"	"Cardia - Malignant neoplasms"	"C16.0"	10
	"Jan., 2012"	"2012/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	79
	"Jan., 2012"	"2012/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	243
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	24
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of rectum"	"C20"	35
	"Jan., 2012"	"2012/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	70
	"Jan., 2012"	"2012/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	18
	"Jan., 2012"	"2012/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	73
	"Jan., 2012"	"2012/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	178
	"Jan., 2012"	"2012/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	20
	"Jan., 2012"	"2012/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	874
	"Jan., 2012"	"2012/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	42
	"Jan., 2012"	"2012/01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	20
	"Jan., 2012"	"2012/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	236
	"Jan., 2012"	"2012/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	30
	"Jan., 2012"	"2012/01"	"Endometrium - Malignant neoplasms"	"C54.1"	11
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	30
